epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4103,1.52512,2.45599,1.6707,0.11911,0.37013,0.09158,0.03257,2.3034,4.89166,2.82053,0.000660436,0.000660436,0.000660436
2,96.7684,1.72006,1.83264,1.82925,0.13075,0.36364,0.08054,0.02329,2.58638,7.17831,3.18566,0.00130521,0.00130521,0.00130521
3,131.335,1.72365,1.8717,1.8335,0.30468,0.29221,0.17149,0.05492,2.46805,3.2984,2.6894,0.00192798,0.00192798,0.00192798
4,166.697,1.69018,1.83335,1.81815,0.47423,0.53885,0.43844,0.17346,1.88679,2.07051,2.1263,0.001901,0.001901,0.001901
5,201.953,1.63154,1.77002,1.78497,0.63137,0.62283,0.65141,0.3003,1.72628,1.72905,1.93176,0.001868,0.001868,0.001868
6,236.342,1.55338,1.6594,1.72011,0.61988,0.5974,0.58985,0.25216,1.7113,1.64708,1.9267,0.001835,0.001835,0.001835
7,271.413,1.52139,1.58973,1.69595,0.54433,0.50325,0.47525,0.22159,1.78065,2.09924,2.08305,0.001802,0.001802,0.001802
8,307.44,1.49807,1.57349,1.67452,0.71218,0.58117,0.62018,0.31258,1.56868,1.55272,1.79945,0.001769,0.001769,0.001769
9,341.985,1.50594,1.55695,1.67336,0.67516,0.69805,0.69258,0.34317,1.57217,1.45456,1.75874,0.001736,0.001736,0.001736
10,377.374,1.46251,1.5167,1.64287,0.64266,0.66234,0.65304,0.33854,1.48249,1.47695,1.71168,0.001703,0.001703,0.001703
11,412.295,1.43899,1.42757,1.61007,0.67346,0.68831,0.67744,0.32525,1.55489,1.36644,1.76606,0.00167,0.00167,0.00167
12,446.836,1.41696,1.41875,1.6152,0.72575,0.72174,0.73755,0.40915,1.42379,1.2942,1.6891,0.001637,0.001637,0.001637
13,481.583,1.36972,1.35552,1.57219,0.80743,0.72078,0.80999,0.44241,1.41717,1.20375,1.63349,0.001604,0.001604,0.001604
14,516.558,1.39533,1.35577,1.58768,0.69875,0.77568,0.74095,0.40898,1.39545,1.28049,1.63262,0.001571,0.001571,0.001571
15,550.663,1.31762,1.29693,1.53418,0.81871,0.71429,0.80301,0.43277,1.41004,1.12967,1.61394,0.001538,0.001538,0.001538
16,585.189,1.35686,1.29414,1.56365,0.73848,0.78896,0.79399,0.42634,1.46834,1.1069,1.68614,0.001505,0.001505,0.001505
17,620.518,1.33544,1.24914,1.53445,0.67295,0.79501,0.75731,0.43427,1.31711,1.35121,1.54643,0.001472,0.001472,0.001472
18,654.807,1.31793,1.24144,1.52979,0.80298,0.81494,0.85765,0.51565,1.28635,1.03866,1.48979,0.001439,0.001439,0.001439
19,688.85,1.28695,1.22326,1.51469,0.80642,0.72727,0.8092,0.49116,1.25544,1.16726,1.52607,0.001406,0.001406,0.001406
20,723.457,1.28056,1.19776,1.50904,0.73696,0.74592,0.78423,0.43961,1.36837,1.11807,1.59764,0.001373,0.001373,0.001373
21,757.785,1.27712,1.21485,1.51146,0.82122,0.78896,0.83579,0.49478,1.29945,1.04529,1.56994,0.00134,0.00134,0.00134
22,791.806,1.27376,1.13659,1.50111,0.73658,0.81707,0.81595,0.44445,1.34176,1.10938,1.55677,0.001307,0.001307,0.001307
23,826.246,1.24848,1.14462,1.49209,0.78784,0.82143,0.84804,0.53269,1.2041,0.99443,1.44729,0.001274,0.001274,0.001274
24,860.116,1.24407,1.13419,1.478,0.83337,0.81169,0.85959,0.54421,1.20416,0.97107,1.48468,0.001241,0.001241,0.001241
