epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0121,1.37748,5.07613,1.68216,0.67706,0.22727,0.30837,0.13956,1.45971,5.51561,1.81165,0.00016,0.00016,0.00016
2,28.1024,1.14758,2.97507,1.52802,0.6469,0.49967,0.51444,0.32469,1.38225,5.7671,1.9188,0.00033439,0.00033439,0.00033439
3,31.1617,1.04639,1.86071,1.42768,0.62375,0.63636,0.57212,0.35856,1.4327,3.16218,1.99575,0.00050284,0.00050284,0.00050284
4,34.0721,1.05209,1.45199,1.39487,0.46722,0.67775,0.44691,0.22532,1.48154,3.81818,1.90752,0.00066535,0.00066535,0.00066535
5,37.9144,1.21725,1.49364,1.57621,0.045,0.45455,0.03671,0.01527,2.2536,14.3523,3.38261,0.00082192,0.00082192,0.00082192
6,40.7878,1.34268,1.39356,1.66537,0.22523,0.40909,0.15477,0.0438,2.44266,5.48693,3.79592,0.00097255,0.00097255,0.00097255
7,43.692,1.25735,1.21019,1.57054,0.18338,0.27273,0.08965,0.04523,2.39824,4.67282,2.93111,0.00111724,0.00111724,0.00111724
8,46.6242,1.288,1.29625,1.60916,0.6088,0.40909,0.3295,0.11527,2.44715,3.20314,2.78677,0.00125599,0.00125599,0.00125599
9,50.3129,1.24663,1.27752,1.54564,0.18971,0.31818,0.18291,0.10541,2.51248,3.72987,3.4767,0.0013888,0.0013888,0.0013888
10,53.3471,1.33092,1.1739,1.54852,0.04327,0.04545,0.01512,0.00999,3.36623,13.3337,3.96483,0.00151567,0.00151567,0.00151567
11,56.2623,1.30688,1.14373,1.53266,0.00228,0.13636,0.00108,0.00031,4.35251,122.959,10.5342,0.0016366,0.0016366,0.0016366
12,59.0847,1.27896,1.14254,1.5776,0.00333,0.04545,0.00166,0.00039,4.34143,59.5237,9.87137,0.001637,0.001637,0.001637
13,62.5042,1.22714,1.08383,1.47735,0.01472,0.09091,0.00442,0.00106,3.57138,13.6094,6.73316,0.001604,0.001604,0.001604
14,65.6298,1.22022,1.03331,1.53116,0.06649,0.18182,0.01928,0.00338,3.30579,5.6462,4.89833,0.001571,0.001571,0.001571
15,68.4833,1.18546,1.03049,1.42788,0.46649,0.18182,0.19828,0.07585,2.58363,3.65632,3.41876,0.001538,0.001538,0.001538
16,71.4274,1.1014,0.9304,1.44245,0.17307,0.40908,0.14178,0.03615,2.56599,3.34968,3.75959,0.001505,0.001505,0.001505
17,74.6736,1.13866,0.93098,1.4446,0.63068,0.68182,0.64186,0.3416,1.82298,2.65907,2.54953,0.001472,0.001472,0.001472
18,77.8928,1.18493,0.97631,1.47094,0.60044,0.72727,0.65476,0.28073,1.82186,3.53103,2.31043,0.001439,0.001439,0.001439
19,80.7404,1.17402,0.98314,1.5001,0.54774,0.77273,0.63385,0.35222,1.67578,2.8655,2.24282,0.001406,0.001406,0.001406
20,83.6929,1.08703,0.91916,1.36555,0.50143,0.40909,0.45424,0.23937,1.72497,11.7334,2.18676,0.001373,0.001373,0.001373
21,86.7927,1.15622,0.92599,1.44919,0.85532,0.63636,0.71964,0.47584,1.40324,2.98511,1.8299,0.00134,0.00134,0.00134
22,90.1652,1.10947,0.89271,1.37354,0.74652,0.59091,0.65458,0.40557,1.48392,2.56701,2.10662,0.001307,0.001307,0.001307
