epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7629,1.74075,5.42339,2.08321,0.38527,0.45,0.50875,0.24375,1.60356,7.7048,2.62155,0.00022,0.00022,0.00022
2,29.8624,1.41304,2.56381,1.78118,0.28105,0.3,0.17022,0.03097,3.30148,16.3982,4.40938,0.00045241,0.00045241,0.00045241
3,34.7286,1.47663,1.64318,1.79936,0.62793,0.5,0.47479,0.14365,2.28461,12.2889,3.48676,0.0006769,0.0006769,0.0006769
4,38.858,1.52995,1.41529,1.83172,0.02036,0.4,0.01497,0.00229,3.8972,44.3407,15.3112,0.00089347,0.00089347,0.00089347
5,43.0632,1.73475,1.49373,1.98426,0.21297,0.25,0.11557,0.0193,3.5933,6.74575,5.81481,0.00110212,0.00110212,0.00110212
6,47.8202,1.62809,1.30265,1.84927,0.05453,0.05,0.00664,0.00085,3.93709,4.76457,11.8885,0.00130285,0.00130285,0.00130285
7,52.1906,1.61382,1.22569,1.88321,0,0,0,0,4.14638,9.84375,5.62356,0.00149566,0.00149566,0.00149566
8,56.1556,1.65117,1.24818,1.91702,0,0,0,0,5.00097,20.7511,10.6173,0.00168055,0.00168055,0.00168055
9,60.9347,1.62983,1.27284,1.87988,0.1785,0.5,0.14566,0.042,2.62415,5.67454,3.87128,0.001736,0.001736,0.001736
10,65.1478,1.50485,1.16861,1.77453,0.16741,0.4,0.12017,0.03195,2.37501,7.6022,3.53585,0.001703,0.001703,0.001703
11,69.1652,1.5758,1.16215,1.80329,0.61792,0.4,0.54452,0.20029,2.37243,4.8885,4.43401,0.00167,0.00167,0.00167
12,73.9117,1.56738,1.2869,1.82188,0.75078,0.65,0.68372,0.29652,1.95646,3.06853,3.39485,0.001637,0.001637,0.001637
13,77.9662,1.48476,1.14405,1.78053,0.6577,0.5,0.65356,0.31425,1.89684,4.37508,3.36582,0.001604,0.001604,0.001604
14,82.1668,1.49415,1.11856,1.72534,0.33214,0.2,0.22001,0.04525,3.24075,3.61128,4.34815,0.001571,0.001571,0.001571
15,86.9366,1.51148,1.09749,1.78552,0.87719,0.85,0.88222,0.4983,1.39431,3.12477,2.22476,0.001538,0.001538,0.001538
16,91.0911,1.44913,1.02405,1.71563,0.46627,0.65,0.62173,0.29753,1.8691,2.93019,2.84994,0.001505,0.001505,0.001505
17,95.1458,1.37477,0.95369,1.69283,0.84654,0.65,0.81272,0.37672,1.8015,2.81754,2.61531,0.001472,0.001472,0.001472
18,99.8042,1.43904,1.02386,1.79139,0.85429,0.88002,0.86917,0.41588,1.75263,1.93632,3.25465,0.001439,0.001439,0.001439
19,104.09,1.38226,0.93307,1.69567,1,0.77837,0.86505,0.38094,1.79775,2.98757,2.73572,0.001406,0.001406,0.001406
20,108.075,1.38061,0.98509,1.6936,0.8836,0.9,0.91805,0.4819,1.73527,2.35011,2.93619,0.001373,0.001373,0.001373
21,112.958,1.38573,1.08366,1.75156,0.4574,0.95,0.54582,0.19186,2.0416,2.64521,2.74468,0.00134,0.00134,0.00134
22,117.172,1.40986,1.05118,1.71027,0.84114,0.9,0.91236,0.51107,1.59117,1.24761,2.35946,0.001307,0.001307,0.001307
23,121.162,1.42581,0.96898,1.6881,0.84934,0.9,0.91114,0.47046,1.53547,1.13667,2.20294,0.001274,0.001274,0.001274
24,126.152,1.32054,0.91315,1.63599,0.89198,0.82644,0.90012,0.34405,2.0017,1.17477,2.75609,0.001241,0.001241,0.001241
25,130.253,1.31132,0.91646,1.60771,0.97717,0.9,0.97054,0.58717,1.42237,0.92729,2.2756,0.001208,0.001208,0.001208
26,134.307,1.32801,0.89573,1.63532,0.88512,0.95,0.96643,0.50371,1.41199,1.20257,2.26326,0.001175,0.001175,0.001175
27,138.932,1.38789,0.92823,1.6928,0.89855,0.88623,0.89254,0.51045,1.51495,1.01183,2.46817,0.001142,0.001142,0.001142
28,143.284,1.30735,0.87744,1.60514,0.73298,0.75,0.73753,0.33471,1.87275,1.33671,2.6259,0.001109,0.001109,0.001109
29,147.154,1.28924,0.96101,1.62972,0.85649,0.95,0.96932,0.56127,1.40921,0.89558,2.13564,0.001076,0.001076,0.001076
30,151.968,1.28496,0.90033,1.63704,1,0.98799,0.995,0.58828,1.44748,0.91956,2.15531,0.001043,0.001043,0.001043
31,156.129,1.24823,0.83807,1.57515,0.94868,0.95,0.98795,0.52709,1.45871,1.19186,2.26206,0.00101,0.00101,0.00101
32,160.12,1.25241,0.85292,1.57881,0.85337,0.87358,0.8876,0.5507,1.34308,0.82654,2.04929,0.000977,0.000977,0.000977
33,164.888,1.20867,0.80534,1.53965,0.94547,0.95,0.96704,0.59029,1.32269,0.76071,2.03759,0.000944,0.000944,0.000944
34,169.215,1.2584,0.8136,1.57838,1,0.99295,0.995,0.62047,1.2793,0.77395,2.01968,0.000911,0.000911,0.000911
35,173.304,1.2728,0.83459,1.60418,0.87224,0.95,0.96489,0.60117,1.38386,0.80752,1.99444,0.000878,0.000878,0.000878
36,177.951,1.20313,0.82629,1.53539,0.98625,0.95,0.99045,0.64599,1.13335,0.57372,1.79402,0.000845,0.000845,0.000845
37,182.219,1.17858,0.76092,1.52926,1,0.99904,0.995,0.6936,1.1945,0.56578,1.87483,0.000812,0.000812,0.000812
38,186.227,1.20413,0.79257,1.57174,0.9889,0.95,0.9753,0.61762,1.28601,0.68236,1.86659,0.000779,0.000779,0.000779
39,190.929,1.19541,0.74845,1.50328,0.99003,0.95,0.985,0.58041,1.40457,0.74246,2.01562,0.000746,0.000746,0.000746
40,195.099,1.19462,0.75438,1.54542,0.98105,0.95,0.98667,0.62773,1.35517,0.69588,1.97976,0.000713,0.000713,0.000713
41,199.205,1.18032,0.79433,1.50212,0.95062,1,0.97119,0.64565,1.35762,0.64573,1.99723,0.00068,0.00068,0.00068
42,204.075,1.1443,0.74924,1.50271,1,0.94948,0.99045,0.6481,1.26628,0.56563,1.94608,0.000647,0.000647,0.000647
43,208.246,1.15108,0.74553,1.51285,0.95191,0.99016,0.99024,0.63695,1.21113,0.60412,1.89273,0.000614,0.000614,0.000614
44,212.195,1.09016,0.68628,1.45374,0.99524,1,0.995,0.64612,1.22502,0.55593,1.99111,0.000581,0.000581,0.000581
45,216.902,1.0564,0.68539,1.44183,0.99768,1,0.995,0.64452,1.20688,0.55242,2.01157,0.000548,0.000548,0.000548
46,221.122,1.11359,0.66317,1.47861,0.99857,1,0.995,0.66578,1.17007,0.53749,1.89466,0.000515,0.000515,0.000515
47,225.889,1.07161,0.66891,1.42971,0.99796,1,0.995,0.63346,1.15486,0.59679,1.90782,0.000482,0.000482,0.000482
48,230.848,1.11273,0.69432,1.44522,0.94869,0.95,0.90981,0.60724,1.18955,0.62838,1.92065,0.000449,0.000449,0.000449
49,234.913,1.13999,0.73448,1.4864,0.94026,0.9,0.93398,0.64199,1.20011,0.60394,1.90226,0.000416,0.000416,0.000416
50,239.073,1.08126,0.72017,1.45088,0.90092,0.95,0.94596,0.65922,1.22465,0.55789,2.01394,0.000383,0.000383,0.000383
51,246.756,1.02723,0.72906,1.58817,0.99275,0.95,0.99262,0.65706,1.22272,0.51863,1.91768,0.00035,0.00035,0.00035
52,251.088,1.00308,0.60053,1.53613,0.9941,0.95,0.99262,0.66038,1.22409,0.53425,1.87925,0.000317,0.000317,0.000317
53,255.817,0.97012,0.52546,1.53917,0.99467,0.95,0.99262,0.6636,1.19878,0.54588,1.81577,0.000284,0.000284,0.000284
54,259.911,0.94231,0.50205,1.51653,0.99473,0.95,0.99262,0.67492,1.17603,0.56704,1.79858,0.000251,0.000251,0.000251
55,264.042,0.93942,0.49825,1.52716,0.94836,1,0.99262,0.65759,1.16106,0.51882,1.79343,0.000218,0.000218,0.000218
56,268.563,0.93488,0.502,1.51167,0.94977,1,0.99024,0.66484,1.12518,0.5179,1.73269,0.000185,0.000185,0.000185
57,272.829,0.90911,0.46244,1.47562,0.95232,0.99881,0.99024,0.66319,1.14687,0.54631,1.73451,0.000152,0.000152,0.000152
58,276.724,0.96526,0.4946,1.52723,1,0.94489,0.99045,0.66478,1.16676,0.56664,1.74126,0.000119,0.000119,0.000119
59,281.375,0.92822,0.48239,1.48217,0.98988,0.95,0.99045,0.67211,1.13946,0.56954,1.73103,8.6e-05,8.6e-05,8.6e-05
60,285.524,0.83485,0.44575,1.40946,0.90872,0.99576,0.99045,0.67773,1.13832,0.55939,1.73883,5.3e-05,5.3e-05,5.3e-05
